,Emotion,Precision,Recall,F1-Score,Accuracy,Matrix
0,Злість,0.9392156862745098,1.0,0.9686552072800809,0.17679019225410977,Модель_1
1,Огида,0.6447368421052632,0.44144144144144143,0.5240641711229946,0.17679019225410977,Модель_1
2,Страх,1.0,0.830078125,0.9071504802561366,0.17679019225410977,Модель_1
3,Радість,0.9190082644628099,0.9402480270574972,0.9295068264140428,0.17679019225410977,Модель_1
4,Нейтр,0.9066176470588235,1.0,0.9510219822599305,0.17679019225410977,Модель_1
5,Сум,0.9991850040749797,0.983159582999198,0.9911075181891674,0.17679019225410977,Модель_1
6,Подив,1.0,0.9987966305655837,0.9993979530403371,0.17679019225410977,Модель_1
7,Злість,0.9745676500508647,1.0,0.987120041215868,0.17985511284480357,Модель_2
8,Огида,1.0,0.6486486486486487,0.7868852459016393,0.17985511284480357,Модель_2
9,Страх,0.9834710743801653,0.8134765625,0.8904329235702834,0.17985511284480357,Модель_2
10,Радість,0.8922121896162528,0.891206313416009,0.8917089678510999,0.17985511284480357,Модель_2
11,Нейтр,0.8640504555010512,1.0,0.9270676691729323,0.17985511284480357,Модель_2
12,Сум,1.0,0.9967923015236567,0.9983935742971887,0.17985511284480357,Модель_2
13,Подив,0.9964028776978417,1.0,0.9981981981981982,0.17985511284480357,Модель_2
14,Злість,0.6588720770288858,1.0,0.7943615257048093,0.659375870716077,Модель_3
15,Огида,0.0,0.0,0.0,0.659375870716077,Модель_3
16,Страх,0.6467065868263473,0.52734375,0.580957504034427,0.659375870716077,Модель_3
17,Радість,0.9654046997389034,0.8337091319052987,0.8947368421052632,0.659375870716077,Модель_3
18,Нейтр,0.8087731322823852,0.9570154095701541,0.87667161961367,0.659375870716077,Модель_3
19,Сум,0.8784029038112523,0.7762630312750601,0.8241805023414219,0.659375870716077,Модель_3
20,Подив,1.0,0.838748495788207,0.912303664921466,0.659375870716077,Модель_3
21,Злість,0.9115128449096099,1.0,0.95370831259333,0.16982446363889664,Модель_4
22,Огида,0.27692307692307694,0.16216216216216217,0.20454545454545456,0.16982446363889664,Модель_4
23,Страх,1.0,0.8017578125,0.8899728997289973,0.16982446363889664,Модель_4
24,Радість,0.9120631341600902,0.9120631341600902,0.9120631341600902,0.16982446363889664,Модель_4
25,Нейтр,0.8616352201257862,1.0,0.9256756756756757,0.16982446363889664,Модель_4
26,Сум,1.0,0.9550922213311949,0.9770303527481543,0.16982446363889664,Модель_4
27,Подив,0.9834319526627219,1.0,0.9916467780429593,0.16982446363889664,Модель_4
28,Злість,0.9176245210727969,1.0,0.957042957042957,0.6900250766230148,Модель_5
29,Огида,0.27472527472527475,0.22522522522522523,0.24752475247524752,0.6900250766230148,Модель_5
30,Страх,1.0,0.7861328125,0.8802624384909786,0.6900250766230148,Модель_5
31,Радість,0.9130187606594656,0.9052987598647125,0.9091423719218794,0.6900250766230148,Модель_5
32,Нейтр,0.8795698924731182,0.9951338199513382,0.9337899543378995,0.6900250766230148,Модель_5
33,Сум,0.9952,0.9975942261427426,0.9963956748097716,0.6900250766230148,Модель_5
34,Подив,0.9964028776978417,1.0,0.9981981981981982,0.6900250766230148,Модель_5
